date,close
2007-01-05,24.27
2007-01-08,24.33
2007-01-09,24.1
2007-01-10,23.1
2007-01-11,22.39
2007-01-12,22.78
2007-01-16,22.03
2007-01-17,22.35
2007-01-18,21.96
2007-01-19,22.79
2007-01-22,22.43
2007-01-23,23.15
2007-01-24,23.3
2007-01-25,23.01
2007-01-26,23.49
2007-01-29,22.82
2007-01-30,23.87
2007-01-31,24.44
2007-02-01,24.06
2007-02-02,24.78
2007-02-05,24.81
2007-02-06,24.59
2007-02-07,24.26
2007-02-08,25.13
2007-02-09,25.08
2007-02-12,24.4
2007-02-13,24.96
2007-02-14,24.44
2007-02-15,24.3
2007-02-16,24.89
2007-02-20,24.55
2007-02-21,24.95
2007-02-22,25.47
2007-02-23,25.62
2007-02-26,25.85
2007-02-27,25.25
2007-02-28,26.1
2007-03-01,25.96
2007-03-02,25.85
2007-03-05,25.11
2007-03-06,25.43
2007-03-07,26.15
2007-03-08,26.08
2007-03-09,25.45
2007-03-12,25.0
2007-03-13,24.92
2007-03-14,25.03
2007-03-15,24.91
2007-03-16,24.74
2007-03-19,24.87
2007-03-20,24.76
2007-03-21,24.75
2007-03-22,25.52
2007-03-23,25.64
2007-03-26,26.05
2007-03-27,26.0
2007-03-28,26.49
2007-03-29,27.4
2007-03-30,27.15
2007-04-02,27.23
2007-04-03,26.72
2007-04-04,26.52
2007-04-05,26.58
2007-04-09,25.75
2007-04-10,26.33
2007-04-11,26.3
2007-04-12,26.56
2007-04-13,26.58
2007-04-16,26.43
2007-04-17,25.97
2007-04-18,26.01
2007-04-19,25.74
2007-04-20,25.92
2007-04-23,26.48
2007-04-24,26.01
2007-04-25,26.64
2007-04-26,26.33
2007-04-27,26.64
2007-04-30,26.51
2007-05-01,26.35
2007-05-02,26.26
2007-05-03,26.29
2007-05-04,26.02
2007-05-07,25.78
2007-05-08,25.9
2007-05-09,25.75
2007-05-10,25.93
2007-05-11,26.03
2007-05-14,25.88
2007-05-15,26.25
2007-05-16,25.9
2007-05-17,26.55
2007-05-18,26.51
2007-05-21,26.78
2007-05-22,26.37
2007-05-23,26.56
2007-05-24,26.37
2007-05-25,26.53
2007-05-29,25.88
2007-05-30,25.94
